"year","from","to","bundesland","variable_x","variable_y","R-value","p-value","population_density"
"2020","2020-02-15","2020-05-25","Berlin","measure_index","retail_and_recreation_percent_change_from_baseline",0.499851844074202,1.04408909683446e-148,4118
"2020","2020-02-15","2020-05-25","Berlin","measure_index","grocery_and_pharmacy_percent_change_from_baseline",0.0819402801098067,7.31298287525254e-20,4118
"2020","2020-02-15","2020-05-25","Berlin","measure_index","parks_percent_change_from_baseline",0.00797109540902843,0.00525083547290879,4118
"2020","2020-02-15","2020-05-25","Berlin","measure_index","transit_stations_percent_change_from_baseline",0.498158273549538,5.4254358364042e-148,4118
"2020","2020-02-15","2020-05-25","Berlin","measure_index","workplaces_percent_change_from_baseline",0.470414830493139,1.34137689366232e-136,4118
"2020","2020-02-15","2020-05-25","Berlin","measure_index","residential_percent_change_from_baseline",0.423661305823267,1.10538723529778e-118,4118
"2020","2020-09-11","2020-12-20","Berlin","measure index","retail_and_recreation_percent_change_from_baseline",0.423661305823267,2.25787846314746e-155,4118
"2020","2020-09-11","2020-12-20","Berlin","measure index","grocery_and_pharmacy_percent_change_from_baseline",0.423661305823267,0.035229092678407,4118
"2020","2020-09-11","2020-12-20","Berlin","measure index","parks_percent_change_from_baseline",0.423661305823267,7.54611440385535e-50,4118
"2020","2020-09-11","2020-12-20","Berlin","measure index","transit_stations_percent_change_from_baseline",0.423661305823267,3.59843008275842e-105,4118
"2020","2020-09-11","2020-12-20","Berlin","measure index","workplaces_percent_change_from_baseline",0.423661305823267,3.14658824578507e-16,4118
"2020","2020-09-11","2020-12-20","Berlin","measure index","residential_percent_change_from_baseline",0.423661305823267,1.40854484582945e-138,4118
"2020","2020-02-15","2020-05-25","Bavaria","measure_index","retail_and_recreation_percent_change_from_baseline",0.404089657954143,1.3084762500559e-111,186
"2020","2020-02-15","2020-05-25","Bavaria","measure_index","grocery_and_pharmacy_percent_change_from_baseline",0.0784688777381182,4.69349438629259e-19,186
"2020","2020-02-15","2020-05-25","Bavaria","measure_index","parks_percent_change_from_baseline",0.0138403208272025,0.000230114764960775,186
"2020","2020-02-15","2020-05-25","Bavaria","measure_index","transit_stations_percent_change_from_baseline",0.47215481153971,2.69593269652618e-137,186
"2020","2020-02-15","2020-05-25","Bavaria","measure_index","workplaces_percent_change_from_baseline",0.383638859680098,1.83925760779786e-104,186
"2020","2020-02-15","2020-05-25","Bavaria","measure_index","residential_percent_change_from_baseline",0.42127313861134,8.3046430284622e-118,186
