"year","from","to","bundesland","variable_x","variable_y","R-value","p_value_x1","p_value_x2","vif","f-statistic","population_density"
"2020","2020-02-15","2020-05-25","Berlin","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","retail_and_recreation_percent_change_from_baseline",0.959779993075766,0.000986733038761368,8.2179631162606e-10,14.7332689003469,"< 2.22e-16",4118
"2020","2020-02-15","2020-05-25","Berlin","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline",0.438257093920952,0.000220616253733565,0.0338121612323099,14.7332689003469,"3.0498e-09",4118
"2020","2020-02-15","2020-05-25","Berlin","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","parks_percent_change_from_baseline",0.694347183258009,2.14602345252955e-18,3.62592705849977e-19,14.7332689003468,"< 2.22e-16",4118
"2020","2020-02-15","2020-05-25","Berlin","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","transit_stations_percent_change_from_baseline",0.972131653661777,0.0040600175211097,1.27418096417003e-14,14.7332689003468,"< 2.22e-16",4118
"2020","2020-02-15","2020-05-25","Berlin","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","workplaces_percent_change_from_baseline",1,0,0.995830230322469,14.7332689003469,"< 2.22e-16",4118
"2020","2020-02-15","2020-05-25","Berlin","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","residential_percent_change_from_baseline",1,1,0,14.7332689003469,"< 2.22e-16",4118
"2020","2020-09-11","2020-12-20","Berlin","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","retail_and_recreation_percent_change_from_baseline",0.840831570617008,0.0364314909667187,4.65445204555247e-25,1.59524367519726,"< 2.22e-16",4118
"2020","2020-09-11","2020-12-20","Berlin","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline",0.135443989944017,0.00173741913009155,0.0642855148598358,1.59524367519726,"0.0070952",4118
"2020","2020-09-11","2020-12-20","Berlin","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","parks_percent_change_from_baseline",0.698755988305869,0.218388488094723,3.85250962534353e-16,1.59524367519726,"< 2.22e-16",4118
"2020","2020-09-11","2020-12-20","Berlin","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","transit_stations_percent_change_from_baseline",0.91656940074233,0.000858413877827818,2.44576515888059e-29,1.59524367519726,"< 2.22e-16",4118
"2020","2020-09-11","2020-12-20","Berlin","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","workplaces_percent_change_from_baseline",1,0,0.374670674858413,1.59524367519726,"< 2.22e-16",4118
"2020","2020-09-11","2020-12-20","Berlin","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","residential_percent_change_from_baseline",1,1.05733260777079e-07,0,1.59524367519726,"< 2.22e-16",4118
"2020","2020-02-15","2020-05-25","Bavaria","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","retail_and_recreation_percent_change_from_baseline",0.958562339872462,2.19222773868609e-09,1.00099170388614e-27,11.4784887197071,"< 2.22e-16",186
"2020","2020-02-15","2020-05-25","Bavaria","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline",0.563407118370272,6.99629321004257e-05,0.118413504364733,11.4784887197071,"5.789e-13",186
"2020","2020-02-15","2020-05-25","Bavaria","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","parks_percent_change_from_baseline",0.419117999420454,1.49375995465742e-09,9.76753313031776e-09,11.4784887197071,"9.5277e-09",186
"2020","2020-02-15","2020-05-25","Bavaria","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","transit_stations_percent_change_from_baseline",0.961398545705689,0.000148296436744125,1.21255779289643e-24,11.4784887197071,"< 2.22e-16",186
"2020","2020-02-15","2020-05-25","Bavaria","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","workplaces_percent_change_from_baseline",1,0,0.961042688626237,11.4784887197071,"< 2.22e-16",186
"2020","2020-02-15","2020-05-25","Bavaria","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","residential_percent_change_from_baseline",1,1.21169089317942e-15,0,11.4784887197071,"< 2.22e-16",186
"2020","2020-09-11","2020-12-20","Bavaria","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","retail_and_recreation_percent_change_from_baseline",0.836771006496909,0.808766820134633,2.4837770254956e-24,1.38794556241169,"< 2.22e-16",186
"2020","2020-09-11","2020-12-20","Bavaria","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline",0.163264045952061,0.101333906230958,0.0652808957294422,1.38794556241169,"0.0023335",186
"2020","2020-09-11","2020-12-20","Bavaria","workplaces_percent_change_from_baseline + residential_percent_change_from_baseline","parks_percent_change_from_baseline",0.795036279496886,6.71430014931558e-10,5.56091488803198e-25,1.38794556241169,"< 2.22e-16",186
